;titulo;valor;data;skill;pais
0;Bot de Automação para Envio de Mensagens pelo Whatsapp;USD 100 - 250;17 de Março de 2023 19:21;['HTML5', 'MySQL', 'PHP', 'API', 'Responsive Web Design'];Brasil
1;Robo para Espelhar operações na Bet 365;USD 500 - 1.000;17 de Março de 2023 20:15;['JavaScript', 'MySQL', 'PHP'];Brasil
2;Script/bot de automação para browser;Menos de USD 50;18 de Fevereiro de 2023 11:45;['JavaScript', 'MySQL', 'PHP'];Brasil
3;Bot de automação;USD 50 - 100;08 de Fevereiro de 2023 13:30;['HTML5', 'MySQL', 'PHP', 'Python'];Brasil
4;Bot de automação  bet 365;USD 250 - 500;31 de Janeiro de 2023 11:54;['Android', 'iPhone', 'Responsive Web Design'];Brasil
5;Bot para automação de entradas em casas de apostas;USD 250 - 500;25 de Dezembro de 2022 18:18;['JavaScript', 'MySQL', 'PHP'];Brasil
6;Criação de bot para automação de tarefas;USD 100 - 250;07 de Dezembro de 2022 20:24;['Python', 'API', 'JavaScript'];Brasil
7;Bot para whatsapp automação;USD 500 - 1.000;27 de Março de 2020 13:13;['JavaScript', 'MySQL', 'PHP', 'Android', 'API', 'CSS', 'HTML', 'HTML5', 'Responsive Web Design'];Brasil
8;Bot de Automação para Instagram;USD 100 - 250;28 de Setembro de 2019 05:40;['JavaScript', 'MySQL', 'PHP', 'API', 'Python'];Brasil
9;Bot para automação de tarefas com captcha;USD 50 - 100;11 de Fevereiro de 2019 17:31;['JavaScript', 'MySQL', 'PHP'];Brasil
10;Criacao e desenvolvimento de bot para Automaçao de Facebook com criação de Api;USD 500 - 1.000;20 de Junho de 2018 02:03;['JavaScript', 'MySQL', 'PHP', 'API'];Brasil
