;titulo;valor;data;skill;pais
0;Integrar o Chatgpt ao sistema Kommo, que já está integrado com o Whatsapp;USD 250 - 500;22 de Março de 2023 00:34;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
1;Integrar dados de um banco de dados Sql Server com Api de outro Erp;USD 250 - 500;20 de Março de 2023 17:41;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
2;Implementação de Chatbot Ia com integração no Whatsapp;USD 250 - 500;22 de Março de 2023 15:57;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
3;Randomizador de envio em massa de e-mails;USD 100 - 250;22 de Março de 2023 19:30;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
4;Parceria para Desenvolvimento de Plataforma Virtual Autônoma;USD 1.000 - 3.000;22 de Março de 2023 18:43;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
5;Criar sistema de transmissão rmpt com servidor próprio;USD 250 - 500;22 de Março de 2023 18:18;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
6;Parametrizacao de Bling;USD 500 - 1.000;22 de Março de 2023 14:11;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
7;Limpieza de datos en la librería Pandas de Python desde Google Colab;USD 50 - 100;22 de Março de 2023 18:27;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Peru
8;Consultoria em Clickup;USD 250 - 500;22 de Março de 2023 12:18;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'PHP', 'JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design', 'JavaScript', 'MySQL', 'PHP', 'C', 'ERP', 'Java', 'Python', 'Microsoft Excel', 'Python', 'C', 'Java', 'Python'];Brasil
9;Robô expert meta trader 4;USD 1.000 - 3.000;21 de Março de 2023 03:00;['C', 'Java', 'Python', 'MySQL', 'Android', 'iPhone', 'Python', 'Responsive Web Design', 'JavaScript', 'PHP', 'Linux', 'Python', 'Web Scraping', 'JavaScript', 'MySQL', 'PHP', 'Python', 'Python', 'HTML5', 'JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
