titulo;valorMin;valorMax;data;skill;pais
Desarrollador Python + conocimiento Shopify (Media Jornada);15;15;27 de Março de 2023 10:28;['Amazon Web Services', 'JavaScript', 'Python', 'Shopify'];Espanha
Procurando um Programador Talentoso para Aperfeiçoar um Projeto de Agência de Viagens;15;45;24 de Março de 2023 15:51;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'HTML5', 'Python', 'Responsive Web Design', 'Lojas Virtuais (e-commerce)'];Estados Unidos
Criar script para baixar arquivos + Api Rest;500;1000;27 de Março de 2023 14:32;['JavaScript', 'MySQL', 'PHP'];Brasil
Apis: Celcoin e Equatorial e Web: Php, Python, Html;15;45;27 de Março de 2023 12:42;['JavaScript', 'MySQL', 'PHP'];Brasil
Mejoras en aplicación web - Python;50;100;27 de Março de 2023 13:48;['Python', 'C', 'Java'];Espanha
Proyecto x;250;500;27 de Março de 2023 13:48;['JavaScript', 'MySQL', 'PHP', 'C++', 'Python', 'SQL', 'Laravel'];Chile
Sistema para Help-desk desenvolvido para web.;250;500;27 de Março de 2023 03:01;['JavaScript', 'MySQL', 'PHP'];Brasil
Criação de um Autoclaim para Freebicoin;50;100;27 de Março de 2023 00:51;['API', 'HTML', 'JavaScript', 'Node.js', 'Python'];Brasil
Modulo odoo embarcaciones;100;250;25 de Março de 2023 12:16;['Python', 'Odoo'];República Dominicana
Bot do Telegram que gerencie assinaturas de um produto na plataforma Kiwify;250;500;25 de Março de 2023 00:37;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'Python'];Brasil
Criar Bot ou app de aposta automatica;250;500;24 de Março de 2023 23:25;['C', 'Java', 'Python'];Brasil
Integração Zendesk > Slack > Notion;500;1000;24 de Março de 2023 21:03;['C', 'Java', 'Python'];Brasil
Telegram aplicações (Aplicação específica.;100;250;24 de Março de 2023 20:42;['JavaScript', 'MySQL', 'PHP'];Brasil
"Trabajo univeristario: Analizar data set ""data_temp.mat""";50;100;25 de Março de 2023 00:33;['Python'];Argentina
Desarrollador Python;15;15;25 de Março de 2023 00:32;['MySQL', 'HTML', 'JavaScript', 'Python'];Chile
Configuração do atendezap;100;250;23 de Março de 2023 20:09;['C', 'Java', 'Python'];Brasil
Rp para tiendas de telefonía  y reparacion;500;1000;24 de Março de 2023 01:02;['C', 'Java', 'Python'];Espanha
Diseño de aplicaciones de escritorio o de web para tiendas minoristas;500;1000;24 de Março de 2023 00:55;['C', 'Java', 'Python'];Espanha
App de seguimiento de indicadores;50;100;23 de Março de 2023 23:17;['C', 'Java', 'Python', 'Design Gráfico'];Colômbia
Desenvolvedor Fixo Na Flowih;500;1000;23 de Março de 2023 14:31;['JavaScript', 'MySQL', 'PHP', 'Programação de Games', 'Node.js', 'Python', 'Desenvolvimento Web', 'Laravel', 'React.js', 'Flutter'];Brasil
Integromat / Make + Linkedin;100;250;23 de Março de 2023 14:30;['JavaScript', 'PHP', 'API', 'Python'];Brasil
Automação de navegador utilizando técnicas avançadas;250;500;23 de Março de 2023 13:39;['JavaScript', 'MySQL', 'PHP'];Brasil
Developer needed to update Typingtest C# project;3000;3000;23 de Março de 2023 01:28;['C', 'Java', 'Python', 'C#', 'Desenvolvimento de Games', 'Aplicativos desktop'];Hong Kong
Randomizador de envio em massa de e-mails;100;250;22 de Março de 2023 19:30;['PHP'];Brasil
Configuración de Zoho One;250;500;23 de Março de 2023 00:03;['C', 'HTML', 'Java', 'Python', 'Zoho Creator', 'Zoho CRM', 'Zoho ONE'];México
Migrar un programa que se ejecuta en Vb6;100;250;23 de Março de 2023 00:00;['C', 'Java', 'Python', 'HTML'];Argentina
Parceria para Desenvolvimento de Plataforma Virtual Autônoma;1000;3000;22 de Março de 2023 18:43;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'WordPress', 'Gestão de Projetos', 'Responsive Web Design'];Brasil
Criar sistema de transmissão rmpt com servidor próprio;250;500;22 de Março de 2023 18:18;['JavaScript', 'MySQL', 'PHP'];Brasil
Limpieza de datos en la librería Pandas de Python desde Google Colab;50;100;22 de Março de 2023 18:27;['Python'];Peru
Configurar servidor para Produção Flask + Nginx + Gunicorn;50;50;21 de Março de 2023 16:22;['HTML5', 'MySQL', 'PHP'];Brasil
Quitei.co;250;500;21 de Março de 2023 15:56;['C', 'Java', 'Python'];Brasil
Aplicativo de mobilidade Urbana;50;100;21 de Março de 2023 15:18;['C', 'Java', 'Python'];Brasil
Configuração Ms 365 / Intune - Políticas de Segurança de Informação;15;45;21 de Março de 2023 12:18;['C', 'Java', 'Python'];Brasil
Bot para Telegram;100;250;21 de Março de 2023 03:16;['JavaScript', 'Python', 'Web Scraping'];Brasil
Robô expert meta trader 4;1000;3000;21 de Março de 2023 03:00;['C', 'Java', 'Python', 'MySQL'];Brasil
Uber clone;1000;3000;21 de Março de 2023 06:35;['Android', 'iPhone', 'Python', 'Responsive Web Design'];Portugal
Plataforma web para contratar freelancers;100;250;18 de Março de 2023 17:36;['JavaScript', 'MySQL', 'Node.js', 'Python', 'MongoDB', 'Responsive Web Design'];Colômbia
Página web informativa de un mariachi;100;250;18 de Março de 2023 05:07;['JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML5', 'Python', 'Responsive Web Design'];Colômbia
Pesquisa em Documentos;250;500;17 de Março de 2023 23:05;['C', 'Java', 'Python'];Brasil
Modelo predictivo Scoring;250;500;18 de Março de 2023 01:16;['MATLAB', 'Python', 'Data Science'];Peru
Api Whatsapp + Python;250;500;17 de Março de 2023 17:33;['JavaScript', 'API', 'Python', 'REST API'];Brasil
Desarrollador python y angular posibilidad largo plazo;250;500;17 de Março de 2023 20:21;['Python', 'AngularJS', 'Angular 7', 'Angular 8', 'Angular 9'];Colômbia
Desenvolver um painel para envio de mensagens Whats;500;1000;17 de Março de 2023 13:47;['JavaScript', 'MySQL', 'PHP'];Brasil
Modificar Software Calibre (Gestor de libros);1000;3000;16 de Março de 2023 17:06;['HTML5', 'MySQL', 'PHP', 'Python'];Peru
Technologia Financiera;3000;3000;16 de Março de 2023 15:45;['C', 'Java', 'Python'];México
Programacion En Trading Algoritmico;3000;3000;16 de Março de 2023 15:25;['HTML5', 'MySQL', 'PHP', 'API', 'Python'];México
Programador;45;45;16 de Março de 2023 13:30;['Python', 'PHP'];Chile
Criação de storage utilizando wasabi S3;250;500;16 de Março de 2023 01:19;['JavaScript', 'MySQL', 'PHP'];Brasil
Ferramenta de geração de leads usando o linkedin para extraçao de dados;500;1000;15 de Março de 2023 23:37;['JavaScript', 'MySQL', 'PHP'];Brasil
Auxílio/Mentoria Api de web scraping em Python;100;250;15 de Março de 2023 19:58;['JavaScript', 'MySQL', 'PHP'];Brasil
Un programa para administracion de negocio;1000;3000;15 de Março de 2023 05:06;['HTML5', 'MySQL', 'PHP', 'Java', 'Python'];Estados Unidos
Python: Extração de perguntas de arquivos em pdf para Csv.;250;500;14 de Março de 2023 22:31;['JavaScript', 'MySQL', 'PHP'];Brasil
Tranformar joguinho que roda no windows 7, para windows 10;15;15;14 de Março de 2023 21:56;['C', 'Java', 'Python', 'Unity 3D'];Brasil
Pagina Web para mostrar articulos.;15;15;14 de Março de 2023 23:05;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML5', 'Python', 'Responsive Web Design', 'React.js'];Costa Rica
Projeto de autenticação e autorização em fastapi;100;250;14 de Março de 2023 17:15;['API', 'Python', 'REST API'];Brasil
Aplicação de Automação para Instagram - Ruby/Selenium - abertos a outras soluções;500;1000;14 de Março de 2023 15:07;['JavaScript', 'MySQL', 'PHP'];Brasil
Práctica de un máster;50;50;14 de Março de 2023 20:11;['Python'];Espanha
Fluxograma para Mentorados usando o Notion;250;500;13 de Março de 2023 14:18;['C', 'Java', 'Python'];Brasil
Integração formulario quizz de site com chat gpt;500;1000;13 de Março de 2023 07:45;['JavaScript', 'API', 'HTML', 'Python', 'WordPress'];Brasil
