titulo;valorMin;valorMax;data;skill;pais
Proyecto x;250;500;27 de Março de 2023 13:48;['JavaScript', 'MySQL', 'PHP', 'C++', 'Python', 'SQL', 'Laravel'];Chile
Criação de procedure em firebird scanntech;50;50;26 de Março de 2023 19:15;['Delphi', 'Aptidão de programação', 'SQL', 'Firebird', 'JavaScript', 'MySQL', 'PHP'];Brasil
Desenvolvimento de Power Bi para análise de Dre e Indicadores de Performance;500;1000;21 de Março de 2023 18:22;['Sem skills'];Brasil
Instalacion de Postgresql en un ordenador dedicado;250;500;13 de Março de 2023 22:01;['Sem skills'];Espanha
Sql Query - Teradata;50;100;28 de Fevereiro de 2023 17:53;['SQL'];Omã
Analise banco postgresql;1000;3000;23 de Fevereiro de 2023 14:15;['PostgresSQL', 'SQL', 'HTML5', 'MySQL', 'PHP'];Brasil
Business inteligence;1000;3000;20 de Fevereiro de 2023 21:28;['SQL', 'Power BI'];Brasil
Sistema de Gerenciamento de Usuários. Accounts-database;500;1000;23 de Janeiro de 2023 18:17;['JavaScript', 'MySQL', 'PHP', 'Python', 'SQL'];Brasil
Analista de dados pra analisar resultados que variam de 1,00 a 500,00 tendo em vista uma previsão dos numeros acima de 2,00;500;1000;20 de Janeiro de 2023 22:15;['JavaScript', 'MySQL', 'PHP', 'API', 'Python', 'SQL'];Brasil
Soporte de ayuda para un proyecto de data analysis utilizando Sql.;50;100;19 de Janeiro de 2023 16:14;['MySQL', 'PostgresSQL', 'SQL', 'Inglês'];Paraguai
Renovación del backoffice;15;45;16 de Janeiro de 2023 19:29;['JavaScript', 'MySQL', 'PHP', 'SQL', 'SQL Server'];Argentina
Renovación del Backoffice;1000;3000;16 de Janeiro de 2023 19:08;['HTML5', 'MySQL', 'PHP', 'JavaScript', 'Python', 'SQL', 'SQL Server'];Argentina
Dashboard automatizados y workflows;250;500;12 de Janeiro de 2023 15:56;['SQL', 'Microsoft PowerPoint', 'Microsoft Flow'];Peru
Sistema de préstamos;250;500;10 de Janeiro de 2023 17:06;['JavaScript', 'MySQL', 'PostgresSQL', 'Python', 'SQL', 'SQL Server', 'Firebase', 'Odoo', 'SOAP', 'Bootstrap'];Peru
Script de extração de dados de sites usando a ferramenta Botcity na linguagem phyton;500;1000;06 de Dezembro de 2022 12:52;['MySQL', 'API', 'Oracle', 'Python', 'SQL'];Brasil
Sistema De Alerta De Expedientes;50;100;02 de Dezembro de 2022 00:19;['JavaScript', 'MySQL', 'Java', 'SQL'];Peru
Desarrollador Siebel;3000;3000;28 de Novembro de 2022 11:07;['Java', 'Siebel', 'SQL'];Espanha
Conexão de bancos e chamadas entre Apis e apps;1000;3000;23 de Novembro de 2022 20:28;['MySQL', 'Google App Engine', 'Google Cloud Platform', 'Estruturação de Dados', 'Data Warehousing', 'Database', 'PostgresSQL', 'SQL', 'SQL Server', 'Google GSuite'];Brasil
