;titulo;valor;data;skill;pais
0;Criar um sisteminha que auxilie no controle fiscal dos produtos no Erp Tiny;USD 250 - 500;20 de Março de 2023 15:30;['JavaScript', 'MySQL', 'PHP', 'Python', 'Selenium'];Brasil
1;Integrar dados de um banco de dados Sql Server com Api de outro Erp;USD 250 - 500;20 de Março de 2023 17:41;['JavaScript', 'MySQL', 'PHP'];Brasil
2;Aplicativo de mobilidade Urbana;USD 50 - 100;21 de Março de 2023 15:18;['C', 'Java', 'Python'];Brasil
3;Configuração Ms 365 / Intune - Políticas de Segurança de Informação;USD 15 - 45 / hora;21 de Março de 2023 12:18;['C', 'Java', 'Python'];Brasil
4;Bot para Telegram;USD 100 - 250;21 de Março de 2023 03:16;['JavaScript', 'Python', 'Web Scraping'];Brasil
5;Robô expert meta trader 4;USD 1.000 - 3.000;21 de Março de 2023 03:00;['C', 'Java', 'Python', 'MySQL'];Brasil
6;Uber clone;USD 1.000 - 3.000;21 de Março de 2023 06:35;['Android', 'iPhone', 'Python', 'Responsive Web Design'];Portugal
7;Parceria para Desenvolvimento de Plataforma Virtual Autônoma;USD 1.000 - 3.000;20 de Março de 2023 22:27;['JavaScript', 'MySQL', 'PHP'];Brasil
8;Busca de emails;USD 100 - 250;20 de Março de 2023 21:39;['JavaScript', 'PHP', 'Linux', 'Python', 'Web Scraping'];Brasil
9;Desenvolver um painel para envio de mensagens Whats;USD 500 - 1.000;17 de Março de 2023 13:47;['JavaScript', 'MySQL', 'PHP'];Brasil
10;Criar Programa com Base Dados para Registar Clientes;USD 250 - 500;17 de Março de 2023 18:29;['C', 'Java', 'Python', 'C#', 'Database', 'Microsoft Access', 'Microsoft Visual Studio', 'MySQL', 'Microsoft Excel'];Portugal
11;Criador de Cadastros Automatizado;USD 500 - 1.000;17 de Março de 2023 03:32;['C', 'Python', 'C#', 'JavaScript', 'VB.NET', 'Selenium'];Brasil
12;Robô compra de passagem aérea;USD 250 - 500;17 de Março de 2023 00:00;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP'];Brasil
13;Procuro analista de dados com conhecimentos em programação para analisar algumas informações, transforma-las em dados.;USD 15 - 45 / hora;16 de Março de 2023 23:35;['Estruturação de Dados', 'Database', 'JavaScript', 'Python', 'Interpretação dos dados', 'Data Science'];Brasil
14;Desenvolvimento de sistema em pyton/django;Menos de USD 15 / hora;16 de Março de 2023 17:26;['JavaScript', 'MySQL', 'PHP'];Brasil
15;Ajuste no site. Seo . Pixel . Filtro Estoque e backend do blog Linguagem Vue.js;USD 100 - 250;16 de Março de 2023 12:56;['JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML', 'Python', 'Vue.js'];Brasil
16;Python: Extração de perguntas de arquivos em pdf para Csv.;USD 250 - 500;14 de Março de 2023 22:31;['JavaScript', 'MySQL', 'PHP'];Brasil
17;Tranformar joguinho que roda no windows 7, para windows 10;Menos de USD 15 / hora;14 de Março de 2023 21:56;['C', 'Java', 'Python', 'Unity 3D'];Brasil
