;titulo;valor;data;skill;pais
0;Integrar o Chatgpt ao sistema Kommo, que já está integrado com o Whatsapp;USD 250 - 500;22 de Março de 2023 00:34;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python'];Brasil
1;Integrar dados de um banco de dados Sql Server com Api de outro Erp;USD 250 - 500;20 de Março de 2023 17:41;['JavaScript', 'MySQL', 'PHP'];Brasil
2;Consultoria em Clickup;USD 250 - 500;22 de Março de 2023 12:18;['C', 'Java', 'Python'];Brasil
3;Programa manejo de planos georeferenciados;USD 250 - 500;22 de Março de 2023 13:07;['C', 'Java', 'Python', 'JavaScript'];Espanha
4;Programador de Odoo para personalizar funcionalidades;USD 250 - 500;22 de Março de 2023 10:21;['JavaScript', 'PostgresSQL', 'Python', 'Odoo'];Espanha
5;Robo Iq Option Com Interface Web;USD 250 - 500;22 de Março de 2023 04:43;['MySQL', 'PHP', 'API', 'Python'];Brasil
6;Bot Telegram;Menos de USD 50;21 de Março de 2023 23:21;['Design Gráfico', 'Ilustração', 'Adobe Illustrator'];Brasil
7;Firmar Pdf con certificador P12;USD 50 - 100;22 de Março de 2023 03:37;['PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Equador
8;Integrar dados de um banco de dados Sql Server com Api de outro Erp;USD 250 - 500;20 de Março de 2023 17:41;['JavaScript', 'MySQL', 'PHP'];Brasil
9;Extração de informações de nota fiscal;USD 100 - 250;20 de Março de 2023 14:25;['Python'];Brasil
10;Curso de programação em Python iniciantes;USD 100 - 250;20 de Março de 2023 08:23;['Python'];Brasil
11;Implementação do Dialogflow no Octadesk;USD 250 - 500;20 de Março de 2023 01:21;['JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python'];Brasil
12;Criar Um Robô De Cassino 100% Automatico Roleta Ou Aviator;USD 100 - 250;18 de Março de 2023 23:30;['HTML5', 'JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
13;Web scraping;USD 250 - 500;18 de Março de 2023 22:08;['JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML', 'HTML5', 'Python'];Brasil
14;Sistema de Multiplos Atendimentos pelo Whatsapp;USD 1.000 - 3.000;18 de Março de 2023 19:54;['JavaScript', 'MySQL', 'API', 'CSS', 'Django', 'HTML', 'HTML5', 'Python', 'Responsive Web Design'];Brasil
15;Auxílio/Mentoria Api de web scraping em Python;USD 100 - 250;15 de Março de 2023 19:58;['JavaScript', 'MySQL', 'PHP'];Brasil
16;Preciso de um chatbot e um dashboard.;USD 250 - 500;15 de Março de 2023 16:36;['C', 'Java', 'Python', 'API'];Brasil
17;Aprender e ganhar;USD 1.000 - 3.000;15 de Março de 2023 14:34;['Android', 'API', 'iPhone', 'MySQL', 'Python', 'Responsive Web Design'];Brasil
18;Criptografar arquivos python;USD 100 - 250;15 de Março de 2023 14:25;['JavaScript', 'MySQL', 'PHP'];Brasil
19;Aulas de Estátistica, Probabilidade e Teste de Hipoteses;USD 100 - 250;15 de Março de 2023 14:16;['Microsoft Excel', 'Análise Financeira', 'Python', 'Estatística'];Brasil
20;Desenvolvimento de um projeto de Machine Learning para identificar cores em uma imagem e desenhar uma linha.;USD 100 - 250;15 de Março de 2023 13:40;['JavaScript', 'MySQL', 'PHP'];Brasil
21;Preciso fazer o deploy de um app django em um servidor dedicado linux com Centos;USD 100 - 250;15 de Março de 2023 12:35;['JavaScript', 'MySQL', 'PHP'];Brasil
22;Fluxograma para Mentorados usando o Notion;USD 250 - 500;13 de Março de 2023 14:18;['C', 'Java', 'Python'];Brasil
23;Integração formulario quizz de site com chat gpt;USD 500 - 1.000;13 de Março de 2023 07:45;['JavaScript', 'API', 'HTML', 'Python', 'WordPress'];Brasil
24;Tenho Aplicativo comercial fiscal, Em Delphi que adicionar novas funções, Trabalhar Com Servidor (Controle De Licença);USD 100 - 250;13 de Março de 2023 01:07;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Design Gráfico'];Brasil
25;Instalar um programa do github;USD 50 - 100;13 de Março de 2023 00:42;['Python'];Brasil
26;Correção de 1(uma) rotina em Python em interface com whatsapp;USD 100 - 250;12 de Março de 2023 22:38;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
27;Projeto Nodejs automação navegador;USD 250 - 500;12 de Março de 2023 18:02;['C', 'Java', 'Python', 'Node.js'];Brasil
28;Programa de desktop para uso pessoal;USD 250 - 500;12 de Março de 2023 03:52;['C', 'Java', 'Python'];Brasil
29;Bot de mensagens para Telegram;USD 250 - 500;09 de Março de 2023 18:05;['JavaScript', 'MySQL', 'PHP'];Brasil
30;Busco alguém para me ajudar a desenvolver uma Plataforma de dropshipping (não é Loja);USD 250 - 500;09 de Março de 2023 17:03;['JavaScript', 'MySQL', 'PHP'];Brasil
31;Projeto para um aplicativo desktop para gerenciar chaves;USD 100 - 250;09 de Março de 2023 14:59;['C', 'Java', 'Python'];Brasil
32;Programa  comercial, orçamento e projeto.;USD 1.000 - 3.000;09 de Março de 2023 14:12;['Android', 'API', 'HTML', 'iOS', 'iPhone', 'JavaScript', 'MySQL', 'PHP', 'Responsive Web Design', 'C', 'Java', 'Python'];Brasil
